date,festival,festival_type,is_national_holiday,observed_in
2020-11-16,Gujarati New Year,other_holiday,False,GJ
2020-11-20,Chhath Puja,religious_hindu,False,UP
2020-11-30,Guru Nanak's Birthday,religious_sikh,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2020-12-25,Christmas,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-01-14,Pongal,religious_hindu,False,TN
2021-01-14,Uttarayan,other_holiday,False,GJ
2021-01-15,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2021-01-16,Uzhavar Thirunal,other_holiday,False,TN
2021-01-24,UP Formation Day,other_holiday,False,UP
2021-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2021-03-29,Holi,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-04-02,Good Friday,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-04-13,Gudi Padwa,religious_hindu,False,MH
2021-04-13,Ugadi,religious_hindu,False,KA
2021-04-14,Dr. B. R. Ambedkar's Birthday,other_holiday,True,"DL,GJ,IN,KA,KL,MH,UP,WB"
2021-04-14,Dr. B. R. Ambedkar's Birthday; Puthandu (Tamil New Year),other_holiday,True,TN
2021-04-15,Pohela Boishakh,other_holiday,False,WB
2021-04-21,Ram Navami,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-04-25,Mahavira's Birthday,religious_jain,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-05-01,Gujarat Day,other_holiday,False,GJ
2021-05-01,Maharashtra Day,other_holiday,False,MH
2021-05-09,Rabindra Jayanti,other_holiday,False,WB
2021-05-14,Eid al-Fitr,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-05-26,Buddha Purnima,religious_buddhist,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-07-21,Eid al-Adha,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-08-15,Independence Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-08-16,Parsi New Year (Shahenshahi),other_holiday,False,"GJ,MH"
2021-08-19,Ashura,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-08-21,Onam,religious_hindu,False,KL
2021-08-30,Janmashtami (Vaishnava),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-09-10,Ganesh Chaturthi,religious_hindu,False,MH
2021-10-02,Mahatma Gandhi's Birthday,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-10-15,Dussehra,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-10-19,Prophet's Birthday,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-10-31,Sardar Vallabhbhai Patel Jayanti,other_holiday,False,GJ
2021-11-01,Karnataka Rajyotsava,other_holiday,False,KA
2021-11-01,Kerala Foundation Day,other_holiday,False,KL
2021-11-04,Diwali (Deepavali),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-11-05,Gujarati New Year,other_holiday,False,GJ
2021-11-10,Chhath Puja,religious_hindu,False,UP
2021-11-19,Guru Nanak's Birthday,religious_sikh,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2021-12-25,Christmas,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-01-14,Pongal,religious_hindu,False,TN
2022-01-14,Uttarayan,other_holiday,False,GJ
2022-01-15,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2022-01-16,Uzhavar Thirunal,other_holiday,False,TN
2022-01-24,UP Formation Day,other_holiday,False,UP
2022-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2022-03-01,Maha Shivaratri,other_holiday,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-03-18,Holi,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-04-02,Gudi Padwa,religious_hindu,False,MH
2022-04-02,Ugadi,religious_hindu,False,KA
2022-04-14,Dr. B. R. Ambedkar's Birthday; Mahavira's Birthday,religious_jain,True,"DL,GJ,IN,KA,KL,MH,UP,WB"
2022-04-14,Dr. B. R. Ambedkar's Birthday; Mahavira's Birthday; Puthandu (Tamil New Year),religious_jain,True,TN
2022-04-15,Good Friday,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP"
2022-04-15,Good Friday; Pohela Boishakh,religious_christian,True,WB
2022-05-01,Gujarat Day,other_holiday,False,GJ
2022-05-01,Maharashtra Day,other_holiday,False,MH
2022-05-03,Eid al-Fitr,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-05-09,Rabindra Jayanti,other_holiday,False,WB
2022-05-16,Buddha Purnima,religious_buddhist,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-07-10,Eid al-Adha,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
